inchi_key	compound_name	rt_max	rt_min	rt_peak	rt_units	detected_polarity	mz	mz_tolerance	mz_tolerance_units	mono_isotopic_molecular_weight	pubchem_compound_id	synonyms	inchi	adduct	label	ms1_notes	ms2_notes	identification_notes
HEBKCHPVOIAQTA-ZXFHETKHSA-N	ribitol (unlabeled)	5.053389734	4.453389734	4.753389734	min	negative	151.0611985	5	ppm	152.0684735		"1,2,3,4,5-Pentanepentol///Adonit///Adonite///Adonitol///Pentitol///Ribitol///ribitol///meso-ribitol///adonitol///(2R,3s,4S)-pentane-1,2,3,4,5-pentol///D-ribitol///(2R,3s,4S)-pentane-1,2,3,4,5-pentol///1,2,3,4,5-Pentanepentol///Adonit///Adonite///D-ribitol///L-ribitol///Pentitol"	"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5-"	[M-H]-	ribitol (unlabeled)	nan	nan	nan
OPTASPLRGRRNAP-SLOBMOILSA-N	"cytosine (13C2, 15N3)"	5.133663875	4.533663875	4.833663875	min	negative	115.03379	5	ppm	116.0410762			"InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)/i3+1,4+1,5+1,6+1,7+1"	[M-H]-	"cytosine (13C2, 15N3)"	nan	nan	nan
OPTASPLRGRRNAP-UHFFFAOYSA-N	cytosine (unlabeled)	5.133663875	4.533663875	4.833663875	min	negative	110.03598	5	ppm	111.0432618	597	"cytosine///71-30-7///4-Amino-2-hydroxypyrimidine///Cytosinimine///4-Amino-2(1H)-pyrimidinone///4-aminopyrimidin-2(1H)-one///2(1H)-Pyrimidinone, 4-amino-///6-Aminopyrimidin-2(1h)-One///4-amino-2-oxo-1,2-dihydropyrimidine///Cytosin///Zytosin///Cyt///6-amino-1H-pyrimidin-2-one///CHEBI:16040///2(1H)-pyrimidinone, 6-amino-///AI3-52281///4-amino-2-pyrimidinol///2-Pyrimidinol, 4-amino-///UNII-8J337D1HZY///4-amino-3h-pyrimidin-2-one///OPTASPLRGRRNAP-UHFFFAOYSA-N///EINECS 200-749-5///6-amino-1,2-dihydropyrimidin-2-one///MFCD00006034///NSC 27787///Cytosine-1,3-15N2///66460-21-7///T5883728///6-amino-3-hydropyrimidin-2-one///118511-36-7///66398-98-9///66460-18-2///SMR000857094///InChI=1/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8///Cytosine (8CI)///4-aminopyrimidin-2-ol///PubChem14137///ACMC-1BDSO///4-amino-pyrimidin-2-ol///2-Pyrimidinol,4-amino-///29667-99-0///4-Amino-2-oxypyrimidine///bmse000180///Epitope ID:167475///4-Amino-2(1H)pyrimidone///AC1Q52OP///SCHEMBL4059///4-Amino-2(1)-pyrimidone///DSSTox_CID_24456///DSSTox_RID_80242"	"InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)"	[M-H]-	cytosine (unlabeled)	nan	nan	nan
HEBKCHPVOIAQTA-FCLZTKDGSA-N	xylitol (U - 13C)	5.146594745	4.546594745	4.846594745	min	negative	156.0779535	5	ppm	157.0852477			"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5+/i1+1,2+1,3+1,4+1,5+1"	[M-H]-	xylitol (U - 13C)	nan	nan	nan
HEBKCHPVOIAQTA-NGQZWQHPSA-N	xylitol (unlabeled)	5.146594745	4.546594745	4.846594745	min	negative	151.0612035	5	ppm	152.0684735	6912	"xylitol///ribitol///adonitol///Xylite///D-Xylitol///Adonite///Adonit///D-ribitol///Xyliton///Eutrit///Klinit///Xylite (sugar)///488-81-3///Kannit///Newtol///Xylit///Pentitol///1,2,3,4,5-pentanepentol///Fluorette///Xylisorb///87-99-0///Kylit///meso-ribitol///meso-xylitol///xylo-Pentitol///L-ribitol///L-xylitol///Xylitol C///Xylitab DC///Wood sugar alcohol///(2R,3R,4S)-Pentane-1,2,3,4,5-pentaol///Xylisorb 300///Xylisorb 700///Xylitab 100///Xylitab 300///CHEBI:15963///CHEBI:17151///(2R,4S)-pentane-1,2,3,4,5-pentol///UNII-353ZQ9TVDA///UNII-VCQ006KQ1E///353ZQ9TVDA///(2R,3s,4S)-pentane-1,2,3,4,5-pentol///(2R,3S,4S)-Pentane-1,2,3,4,5-pentaol///HEBKCHPVOIAQTA-ZXFHETKHSA-N///Ribitol, Adonite, 488-81-3///EINECS 201-788-0///NSC 25283///BRN 1720523///ST50411707///WURCS=1.0/1,0/[h111h]///WURCS=1.0/1,0/[h121h]///16277-71-7///4-01-00-02832 (Beilstein Handbook Reference)///pentane-1,2,3,4,5-pentol///1,2,3,4,5-Pentahydroxypentane///Adonitot///Adonitrot///Adonitt///Pentitot///EINECS 207-685-7///D-Adonitol///NSC 16868///BRN 1720524///RB0///Xylitol [USAN]///Adonitol (7CI)///AC1L1NKP///bmse000062///bmse000129///bmse000886///Epitope ID:114702///Epitope ID:114703///AC1Q59QK///SCHEMBL4250///DSSTox_CID_22514///DSSTox_RID_80046///VCQ006KQ1E///DSSTox_GSID_42514///SCHEMBL15318///1,2,3,4,5-Pentanot///MLS002695898///1,2,3,4,5-Pentanepentot///47844_SUPELCO///A5502_SIGMA///CHEMBL96783///Ribitol (6CI,8CI,9CI)///W507930_ALDRICH///X3375_SIGMA///A5502_SIAL///QSPL 191///SCHEMBL1924966///CHEMBL1865120///CHEMBL3137744///02240_FLUKA///HMDB00508///HMDB02917///HEBKCHPVOIAQTA-SCDXWVJYSA-N///12426-00-5///HY-N0538///Tox21_201056///AR-1I7080///MFCD00064291///MFCD00064292///ZINC18068098///1,2,3,4,5-PentahydroxypentaneXylite///AKOS015903403///AKOS015915193///ZINC100014205///ZINC100018612///CCG-214167///CS-2987///DB01904///CAS-87-99-0///(2S,4R)pentane-1,2,3,4,5-pentaol///NCGC00165982-01///NCGC00165982-02///NCGC00258609-01///AK307317///AK307743///BT000167///CA000124///E967///K573///SMR001562099///(2S,4R)-pentane-1,2,3,4,5-pentol///LS-162656///A0171///FT-0631414///N1725///(2R,3r,4S)-pentane-1,2,3,4,5-pentol///(2R,3s,4S)-Pentane-1,2,3,4,5-pentot///2088-EP2272822A1///2088-EP2275417A2///2088-EP2284162A2///2088-EP2284163A2///2088-EP2292234A1///2088-EP2292612A2///2088-EP2301938A1///2088-EP2305254A1///2088-EP2311842A2///2088-EP2314584A1///2088-EP2371811A2///2088-EP2377849A2///C00379///C00474///K-9195///X-7000///127873-EP2275398A1///127873-EP2295402A2///127873-EP2374783A1///127873-EP2377841A1///I14-7373///I14-19011///I14-19012///UNII-YFV05Y57M9 component HEBKCHPVOIAQTA-SCDXWVJYSA-N///UNII-YFV05Y57M9 component HEBKCHPVOIAQTA-ZXFHETKHSA-N///5DCF4F57-E023-469A-B4F3-91E8349A6705///6684F574-C267-40CB-8828-12F2550E58D0///28296-13-1///37191-59-6///7313-55-5///75398-81-1///84709-28-4///84709-42-2"	"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4+,5?"	[M-H]-	xylitol (unlabeled)	nan	nan	nan
JVTAAEKCZFNVCJ-VMIGTVKRSA-N	lactic acid (U - 13C)	5.156947752	4.556947752	4.856947752	min	negative	92.03447353	5	ppm	93.04175857			"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/i1+1,2+1,3+1"	[M-H]-	lactic acid (U - 13C)	nan	nan	nan
JVTAAEKCZFNVCJ-UHFFFAOYSA-N	lactic acid (unlabeled)	5.156947752	4.556947752	4.856947752	min	negative	89.02442353	5	ppm	90.03169405	612	"lactic acid///2-hydroxypropanoic acid///DL-Lactic acid///2-hydroxypropionic acid///50-21-5///Milk acid///lactate///Ethylidenelactic acid///Propanoic acid, 2-hydroxy-///Racemic lactic acid///Lactovagan///Tonsillosan///Ordinary lactic acid///Acidum lacticum///Milchsaeure///Kyselina mlecna///Polylactic acid///DL-Milchsaeure///(+/-)-Lactic acid///1-Hydroxyethanecarboxylic acid///Lactic acid USP///Aethylidenmilchsaeure///L(+)-LACTIC ACID///Lactic acid (natural)///Milchsaure///(+-)-2-Hydroxypropanoic acid///alpha-Hydroxypropionic acid///Kyselina 2-hydroxypropanova///Poly(lactic acid)///Propionic acid, 2-hydroxy-///79-33-4///(RS)-2-Hydroxypropionsaeure///FEMA No. 2611///Milchsaure [German]///CCRIS 2951///HSDB 800///SY-83///2-hydroxy-propionic acid///FEMA Number 2611///Kyselina mlecna [Czech]///598-82-3///NSC 367919///AI3-03130///CHEBI:78320///Poly(D-lactide)///D-Lactide polymer///JVTAAEKCZFNVCJ-UHFFFAOYSA-N///EINECS 200-018-0///EINECS 209-954-4///Kyselina 2-hydroxypropanova [Czech]///SBB065762///EPA Pesticide Chemical Code 128929///BRN 5238667///NCGC00090972-01///E270///DSSTox_CID_3192///C01432///L-()-Lactic acid solution///DSSTox_RID_76915///DSSTox_GSID_23192///26100-51-6///L-(+)-Lactic acid solution///C3H6O3///CAS-50-21-5///163894-00-6///86044-59-9///lactasol///Polactide///Biolac///Whey///Cheese whey///Penederm Lotion///Milk serum///DL-Lacticacid///Chem-Cast///Whey, cheese///Cheongin Haewoohwan///Cheongin Samrakhwan///Cheongin Haejanghwan///Lactate (TN)///DL-EeEa///Lactic acid solution///D(-)-lactic acid///Lactic acid [JAN]///2-Hydroxypropionicacid///Purac FCC 80///Purac FCC 88///4b5w///Lactimol - Crm 10%///AC1Q1LFG///Propanoic acid, (+-)///Herbal Stemcell Aha Peel///2-oC>>u+/-uEa///(.+/-.)-Lactic acid///AC1L19MD///D-LACTIC ACID, ACS///Lactic acid (7CI,8CI)///ACMC-1B0N9///Lactic acid (JP16/USP)///NCIOpen2_000884///UNII-33X04XA5AT///.alpha.-Hydroxypropanoic acid///.alpha.-Hydroxypropionic acid///Fresh Morning Bifidus Bifidus///KSC269O0T///L1250_SIGMA///L1875_SIGMA///L6661_SIGMA///P1691_SIGMA///W261106_ALDRICH///W261114_ALDRICH///2-Hydroxy-2-methylacetic acid///L-LACTIC ACID, Ca SALT///27714_RIEDEL///35202_RIEDEL///531162_ALDRICH///Jsp000339///L-(+)-Lactic acid, 98%///CHEMBL1200559///09578_FLUKA///35202_FLUKA///67122_FLUKA///67122_SIGMA///69775_FLUKA///69778_FLUKA///69778_SIGMA///69780_FLUKA///69780_SIGMA///69782_FLUKA///69782_SIGMA///BDBM23233///CTK1G9709///27714_SIAL///KST-1A8606///252476_SIAL///L-LACTIC ACID, CALCIUM SALT///Lacticacid,1.0NStandardizedSolution///EINECS 295-890-2///Keri Original - Aha - Lotion 5%///Propanoic acid, 2-hydroxy- (9CI)///Tox21_111049///Tox21_202455///Tox21_303616///ANW-43668///AR-1A0153///BBL027466///MFCD00004520///MFCD00064266///NSC367919///STL282744///AKOS000118855///AKOS017278364///ETHYL, 1-CARBOXY-1-HYDROXY-///Tox21_111049_1///AM87208///DB04398///Keri Fast Absorbing - Aha - Lot 5%///LS-2145///MCULE-5387110670///NSC-367919///RP18533///TRA0023918///VC30148///Propanoic acid,2-hydroxy-,(.+/-.)-///NCGC00090972-02///NCGC00090972-03///NCGC00257515-01///NCGC00260004-01///Propanoic acid, 2-hydroxy-, homopolymer///AK307323///AK308539///AN-21582///AN-23990///AN-24369///I487///KB-53095///OR034131///OR225681///OR230597///OR249756///LS-180647///TR-036893///235-EP2269610A2///235-EP2269986A1///235-EP2269988A2///235-EP2270000A1///235-EP2270006A1///235-EP2270008A1///235-EP2270014A1///235-EP2272516A2///235-EP2272537A2///235-EP2272817A1///235-EP2272822A1///235-EP2272835A1///235-EP2272844A1///235-EP2275401A1///235-EP2275413A1///235-EP2275421A1///235-EP2277507A1///235-EP2277848A1///235-EP2277858A1///235-EP2281559A1///235-EP2281563A1///235-EP2281819A1///235-EP2284160A1///235-EP2284178A2///235-EP2284179A2///235-EP2286795A1///235-EP2287147A2///235-EP2287153A1///235-EP2287156A1///235-EP2287160A1///235-EP2289510A1///235-EP2289518A1///235-EP2289879A1///235-EP2289883A1///235-EP2289890A1///235-EP2292227A2///235-EP2292231A1///235-EP2292234A1///235-EP2292592A1///235-EP2292611A1///235-EP2292617A1///235-EP2292619A1///235-EP2295416A2///235-EP2295433A2///235-EP2295439A1///235-EP2298734A2///235-EP2298742A1///235-EP2298746A1///235-EP2298747A1///235-EP2298748A2///235-EP2298755A1///235-EP2298757A2///235-EP2298768A1///235-EP2301544A1///235-EP2301919A1///235-EP2301922A1///235-EP2301940A1///235-EP2305248A1///235-EP2305633A1///235-EP2305641A1///235-EP2305646A1///235-EP2305651A1///235-EP2305653A1///235-EP2305655A2///235-EP2305657A2///235-EP2305659A1///235-EP2305662A1///235-EP2305663A1///235-EP2305668A1///235-EP2305672A1///235-EP2308849A1///235-EP2308850A1///235-EP2308854A1///235-EP2308857A1///235-EP2308861A1///235-EP2308869A1///235-EP2308873A1///235-EP2308874A1///235-EP2308875A1///235-EP2308881A1///235-EP2308883A1///235-EP2311801A1///235-EP2311802A1///235-EP2311803A1///235-EP2311807A1///235-EP2311809A1///235-EP2311810A1///235-EP2311811A1///235-EP2311814A1///235-EP2311818A1///235-EP2311821A1///235-EP2311831A1///235-EP2311842A2///235-EP2314575A1///235-EP2314579A1///235-EP2314581A1///235-EP2314583A1///235-EP2314584A1///235-EP2314585A1///235-EP2314586A1///235-EP2314588A1///235-EP2316457A1///235-EP2316458A1///235-EP2316459A1///235-EP2316825A1///235-EP2316826A1///235-EP2316827A1///235-EP2316828A1///235-EP2316836A1///235-EP2371797A1///235-EP2371800A1///235-EP2371814A1///235-EP2372017A1///235-EP2374895A1///E 270///FT-0624390///FT-0625477///FT-0627927///L0226///D00111///Propanoic acid, 2-hydroxy-, (+-)-, homopolymer///3B4-0515///I04-0181///I04-0197///F2191-0200///BC10F553-5D5D-4388-BB74-378ED4E24908///ALPHA/BETA HYDROXY ACIDS (LACTIC ACID) (ALPHA/BETA HYDROXY ACIDS)///152-36-3///31587-11-8"	"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)"	[M-H]-	lactic acid (unlabeled)	nan	nan	nan
HEBKCHPVOIAQTA-QSYSQFBZSA-N	arabinitol (U - 13C)	5.487915926	4.887915926	5.187915926	min	negative	152.0645485	5	ppm	153.0718283			"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4-/m1/s1/i1+1/t3-,4-,5?"	[M-H]-	arabinitol (U - 13C)	nan	nan	nan
HEBKCHPVOIAQTA-IMJSIDKUSA-N	arabinitol (unlabeled)	5.487915926	4.887915926	5.187915926	min	negative	151.0612035	5	ppm	152.0684735	439255	"L-arabitol///L-arabinitol///L-arabinol///L-(-)-Arabitol///7643-75-6///L-(-)-Arabinitol///L-lyxitol///arabinitol///L(-)-Arabitol///Adonite Adonitol///L-(+)-Arabitol///(2S,4S)-pentane-1,2,3,4,5-pentol///UNII-45Z1K06N9V///CHEBI:18403///45Z1K06N9V///(2S,4S)-Pentane-1,2,3,4,5-pentaol///1,2,3,4,5-Pentahydroxypentane///Arabinitol, L-///WURCS=1.0/1,0/[h211h]///L- -ARABITOL///bmse000068///bmse000802///bmse000869///Epitope ID:114706///AC1L96ZK///A3506_SIGMA///SCHEMBL195279///HMDB01851///ZINC895208///2152-56-9///EINECS 231-582-6///KM1766///MFCD00064290///NSC 83253///ZINC00895208///CCG-214165///AK307636///CA011712///K310///ZB014993///A0518///FT-0695812///C00532///A827622///A838703///C66BD5E8-5966-4CB8-8AD1-4DBC52950BBD///UNII-YFV05Y57M9 component HEBKCHPVOIAQTA-IMJSIDKUSA-N///488-83-5///SST"	"InChI=1S/C5H12O5/c6-1-3(8)5(10)4(9)2-7/h3-10H,1-2H2/t3-,4-/m0/s1"	[M-H]-	arabinitol (unlabeled)	nan	nan	nan
UGQMRVRMYYASKQ-SHKQESLVSA-N	inosine (U - 15N)	5.734235961	5.134235961	5.434235961	min	negative	271.06163	5	ppm	272.0689091			"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1/i11+1,12+1,13+1,14+1"	[M-H]-	inosine (U - 15N)	nan	nan	nan
UGQMRVRMYYASKQ-KQYNXXCUSA-N	inosine (unlabeled)	5.734235961	5.134235961	5.434235961	min	negative	267.07349	5	ppm	268.0807695	6021	"inosine///58-63-9///Hypoxanthosine///Atorel///Ribonosine///Trophicardyl///Oxiamin///Selfer///Pantholic-L///Panholic-L///beta-Inosine///Hypoxanthine riboside///Hypoxanthine ribonucleoside///Hypoxanthine D-riboside///(-)-Inosine///Hypoxanthine nucleoside///Inosie///iso-prinosine///hypoxanthine-ribose///Inosina///Inosinum///9-beta-D-Ribofuranosylhypoxanthine///INO 495///Hypoxanthine 9-beta-D-ribofuranoside///Inosine [INN:JAN]///Inosinum [INN-Latin]///Inosina [INN-Spanish]///Hypoxanthine, 9-beta-D-ribofuranosyl-///HXR///AI3-52241///Hypoxanthine-9-beta-D-ribofuranoside///NSC 20262///beta-D-Ribofuranoside, hypoxanthine-9///UNII-5A614L51CT///9-b-D-Ribofuranosylhypoxanthine///Hypoxanthine-9-D-ribofuranoside///9beta-D-Ribofuranosylhypoxanthine///CHEBI:17596///9-b-D-ribofuranosyl-Hypoxanthine///UGQMRVRMYYASKQ-KQYNXXCUSA-N///Hypoxanthine-9-delta-ribofuranoside///9-beta-D-ribofuranosyl-Hypoxanthine///9.beta.-D-Ribofuranosylhypoxanthine///EINECS 200-390-4///9beta-delta-Ribofuranosylhypoxanthine///beta-D-Ribofuranoside hypoxanthine-9///hypoxanthine-9 beta-D-Ribofuranoside///1,9-Dihydro-9-beta-D-ribofuranosyl-6H-purin-6-one///9-beta-delta-Ribofuranosylhypoxanthine///9-beta-delta-ribofuranosyl-Hypoxanthine"	"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1"	[M-H]-	inosine (unlabeled)	nan	nan	nan
LCTONWCANYUPML-VMIGTVKRSA-N	pyruvic acid (U - 13C)	5.787306336	5.187306336	5.487306336	min	negative	90.01882353	5	ppm	91.02610851			"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/i1+1,2+1,3+1"	[M-H]-	pyruvic acid (U - 13C)	nan	nan	nan
LCTONWCANYUPML-UHFFFAOYSA-N	pyruvic acid (unlabeled)	5.787306336	5.187306336	5.487306336	min	negative	87.00877353	5	ppm	88.01604399	1060	"Pyruvic acid///2-Oxopropanoic acid///127-17-3///2-Oxopropionic acid///Pyroracemic acid///acetylformic acid///alpha-ketopropionic acid///2-Ketopropionic acid///2-Oxopropanoate///Propanoic acid, 2-oxo-///2-oxo-propionic acid///2-Oxopropansaeure///2-Oxopropionsaeure///a-Ketopropionic acid///alpha-Oxopropionsaeure///Pyruvic acid (natural)///acide pyruvique///CH3COCOOH///Acetylformate///Pyroracemate///a-Ketopropionate///2-Oxopropionate///alpha-keto propionic acid///Brenztraubensaeure///.alpha.-Ketopropionic acid///alpha-Ketopropionate///2-oxo(1-14c)propanoic acid///nchembio867-comp8///FEMA No. 2970///Propanoic acid, oxo-///CHEBI:32816///Pyruvic acid (8CI)///AI3-11220///NSC 179///AC1L1AMZ///AC1Q1JAT///EINECS 204-824-3///bmse000112///AC1Q1J9Y///2-KETOPROPANOIC ACID///BRN 0506211///pyruvicacid///NCIOpen2_000039///UNII-8558G7RUTR///P76209_ALDRICH///W297003_ALDRICH///W297070_ALDRICH///107360_ALDRICH///NSC179///CHEMBL1162144///Propanoic acid, 2-oxo- (9CI)///LCTONWCANYUPML-UHFFFAOYSA-N///BB_SC-7199///AR-1E4599///LMFA01060077///AKOS000118803///DB00119///LS-2371///NCGC00165990-01///P0579///DSSTox_CID_1650///C00022///P-9250///2-oxo-Propanoic acid///DSSTox_RID_76263///DSSTox_GSID_21650///4-03-00-01505 (Beilstein Handbook Reference)///I04-0222///B3CFF0AD-2F35-484C-B062-4AC88A1B2830///InChI=1/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6///Pyruvic-1-13C acid (free acid)///1892-67-7///CAS-127-17-3///Acid pyruvate///CID1060///PubChem18177///4b5s///ACMC-1BZZI///nchembio.237-comp20///nchembio.266-comp21///KSC111I5T///PYRUVIC ACID FREE ACID///8558G7RUTR///GTPL4809///PROPOXY, 1,2-DIOXO-///NChemBio.2007.20-comp11///BDBM19473///CTK0B1459///HMDB00243///NSC-179///ZINC1532517///Tox21_202096///Tox21_303284///ANW-18966///BBL027390///DAP000543///MFCD00002585///LS41153///MCULE-8587144313///RP18486///TRA0074608///NCGC00165990-02///NCGC00257000-01///NCGC00259645-01///AJ-26771///AK-68807///AN-43579///BC216002///BR-68807///I940///KB-80279///OR035227///OR211551///OR224293///OR236225///OR236226///SC-17382///AB1002748///ST2410191///TC-063885///FT-0612738///M-6029///11058-EP2269610A2///11058-EP2270011A1///11058-EP2275401A1///11058-EP2277848A1///11058-EP2277867A2///11058-EP2280001A1///11058-EP2280003A2///11058-EP2281563A1///11058-EP2284160A1///11058-EP2284174A1///11058-EP2289510A1///11058-EP2289890A1///11058-EP2292234A1///11058-EP2298735A1///11058-EP2301544A1///11058-EP2301931A1///11058-EP2301937A1///11058-EP2301940A1///11058-EP2305257A1///11058-EP2305646A1///11058-EP2308847A1///11058-EP2308851A1///11058-EP2311809A1///11058-EP2311842A2///11058-EP2314593A1///11058-EP2316457A1///11058-EP2316458A1///11058-EP2316459A1///11058-EP2316825A1///11058-EP2316826A1///11058-EP2316827A1///11058-EP2316828A1///11058-EP2371802A1///11058-EP2374895A1///F2191-0254///151677-69-9"	"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)"	[M-H]-	pyruvic acid (unlabeled)	nan	nan	nan
LKDRXBCSQODPBY-TXOLJYCISA-N	fructose (U - 13C)	6.302269725	5.702269725	6.002269725	min	negative	185.0762135	5	ppm	186.0835171			"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4-,5+,6?/m1/s1/i1+1,2+1,3+1,4+1,5+1,6+1"	[M-H]-	fructose (U - 13C)	nan	nan	nan
LKDRXBCSQODPBY-VRPWFDPXSA-N	fructose (unlabeled)	6.302269725	5.702269725	6.002269725	min	negative	179.0561135	5	ppm	180.0633881	2723872	"D-Fructopyranose///Fructose///D-Fructose///Fructopyranose///Fructopyranoside///D-Fructopyranoside///CHEBI:37714///D-Fru///D-Arabino-Hex-2-ulo-Pyranose///D-(&#8722;)-Fructose///Fru///[14C]-Fructose///AC1MC3S9///D-arabino-Hex-2-ulopyranose///F0127_SIGMA///F2543_SIGMA///F2793_FLUKA///F2793_SIGMA///F3510_SIGMA///F9048_SIGMA///SCHEMBL239448///15760_RIEDEL///CHEMBL2325229///47739_FLUKA///47739_SIGMA///47740_FLUKA///CTK2F9011///15760_SIAL///6347-01-9///AKOS004910390///F0317///C05003///(3S,4R,5R)-2-(hydroxymethyl)oxane-2,3,4,5-tetrol///EB37038E-44A6-4AF7-B0D8-47A315AD2F74"	"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4-,5+,6?/m1/s1"	[M-H]-	fructose (unlabeled)	nan	nan	nan
UYTPUPDQBNUYGX-CIKZIQIKSA-N	guanine (U - 15N)	6.565359988	5.965359988	6.265359988	min	negative	155.0273	5	ppm	156.0345843			"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)/i6+1,7+1,8+1,9+1,10+1"	[M-H]-	guanine (U - 15N)	nan	nan	nan
UYTPUPDQBNUYGX-UHFFFAOYSA-N	guanine (unlabeled)	6.565359988	5.965359988	6.265359988	min	negative	150.04213	5	ppm	151.0494098	764	"guanine///2-Amino-6-hydroxypurine///73-40-5///Guanin///Mearlmaid///Pearl essence///Guanine enol///Stella Polaris///2-Aminohypoxanthine///Dew Pearl///Natural white 1///2-Amino-6-purinol///C.I. Natural White 1///Natural pearl essence///CI Natural white 1///6-Hydroxy-2-aminopurine///Hypoxanthine, 2-amino-///6H-Purin-6-one, 2-amino-1,7-dihydro-///2-Amino-1,7-dihydro-6H-purin-6-one///Mearlmaid AA///6H-Purin-6-one, 2-amino-1,9-dihydro-///2-amino-9H-purin-6-ol///C.I. 75170///2-amino-1,9-dihydro-6H-purin-6-one///2-Amino-6-hydroxy-1H-purine///2-amino-Hypoxanthine///2-amino-6-oxopurine///CI 75170///CHEBI:16235///AI3-24393///HSDB 2127///2-amino-3,7-dihydropurin-6-one///2-Amino-1,9-dihydro-purin-6-one///2-AMINO-3H-PURIN-6(7H)-ONE///UNII-5Z93L87A1R///CHEMBL219568///UYTPUPDQBNUYGX-UHFFFAOYSA-N///EINECS 200-799-8///2-amino-3,7-dihydro-6H-purin-6-one///2-amino-6,7-dihydro-3H-purin-6-one///GUN///6H-purin-6-one, 2-amino-3,7-dihydro-///2-aminohydropurin-6-one///11006-44-3///66224-64-4///8039-79-0///Guanine-8-14C hydrochloride///Guanine (8CI)///PubChem9189///ACMC-1BDON"	"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)"	[M-H]-	guanine (unlabeled)	nan	nan	nan
OVRNDRQMDRJTHS-ZEUBEQSHSA-N	N-acetyl-glucosamine (U - 13C)	7.041088465	6.441088465	6.741088465	min	negative	226.1027635	5	ppm	227.1100662			"InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5-,6-,7-,8?/m1/s1/i2+1,4+1,5+1,6+1,7+1,8+1"	[M-H]-	N-acetyl-glucosamine (U - 13C)	nan	nan	nan
