compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	source	rt_space	tags
VALPROATE SODIUM	NIJJYAXOARWZEE-UHFFFAOYSA-N	[M-H]-	143.1077538	0.671169423	0.171169423	1.171169423	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_49_MS-P5-C10_1_Rg70to1050-CE205060norm--S1_Run262.h5	HF_Aug2019	
CHLOROCRESOL	CFKMVGJGLGKFKI-UHFFFAOYSA-N	[M-H]-	141.0112665	0.67147544	0.17147544	1.17147544	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_5_MS-P1-C6_1_Rg70to1050-CE205060norm--S1_Run37.h5	HF_Aug2019	
CHLOROXYLENOL	OSDLLIBGSJNGJE-UHFFFAOYSA-N	[M-H]-	155.0269166	0.674679249	0.174679249	1.174679249	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_7_MS-P1-C8_1_Rg70to1050-CE102040norm--S1_Run46.h5	HF_Aug2019	
CHLORAMPHENICOL PALMITATE	PXKHGMGELZGJQE-UKILVPOCSA-N	[M-H]-	559.2347164	0.676647182	0.176647182	1.176647182	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_10_MS-P1-C11_1_Rg70to1050-CE102040norm--S1_Run62.h5	HF_Aug2019	
BENZOCAINE	BLFLLBZGZJTVJG-UHFFFAOYSA-N	[M-H]-	164.0717026	0.677260923	0.177260923	1.177260923	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_5_MS-P1-C6_1_Rg70to1050-CE205060norm--S1_Run37.h5	HF_Aug2019	
HYDROCORTISONE ACETATE	ALEXXDVDDISNDU-KPYZGQEZSA-N	[M+Cl]-	439.1892907	0.677299246	0.177299246	1.177299246	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_23_MS-P3-C4_1_Rg70to1050-CE102040norm--S1_Run128.h5	HF_Aug2019	
ESTRONE	DNXHEGUUPJUMQT-GUZDXLFXSA-N	[M-H]-	269.1547039	0.680618478	0.180618478	1.180618478	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_18_MS-P2-C9_1_Rg70to1050-CE205060norm--S1_Run103.h5	HF_Aug2019	
DIENESTROL	NFDFQCUYFHCNBW-SCGPFSFSSA-N	[M-H]-	265.1234038	0.68331771	0.18331771	1.18331771	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_13_MS-P2-C4_1_Rg70to1050-CE205060norm--S1_Run78.h5	HF_Aug2019	
Phenylacetaldehyde	DTUQWGWMVIHBKE-UHFFFAOYSA-N	[M-H]-	119.0502389	0.684882039	0.184882039	1.184882039	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250321_JGI_KG_510479_Brassica_final-set2_EXP120B_HILICZ_USHXG01827/20250321_JGI_KG_510479_Brassica_final-set2_EXP120B_HILICZ_USHXG01827_NEG_MS2_RefStd-7-10ugmL_Phenylacetaldehyde_2_Rg70to1050-CE102040norm-10ugmL-S1_Run448.h5	HF_Aug2019	
DEFLAZACORT	FBHSPRKOSMHSIF-JEHHHYCTSA-N	[M+Cl]-	476.1845397	0.687517348	0.187517348	1.187517348	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_35_MS-P4-C6_1_Rg70to1050-CE102040norm--S1_Run189.h5	HF_Aug2019	
PIROXICAM	QYSPLQLAKJAUJT-UHFFFAOYSA-N	[M-H]-	330.0554009	0.687976997	0.187976997	1.187976997	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_34_MS-P4-C5_1_Rg70to1050-CE102040norm--S1_Run184.h5	HF_Aug2019	
PHENINDIONE	NFBAXHOPROOJAW-UHFFFAOYSA-N	[M-H]-	221.0608036	0.688411525	0.188411525	1.188411525	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_32_MS-P4-C3_1_Rg70to1050-CE205060norm--S1_Run175.h5	HF_Aug2019	
BenzyIsothiocyanate(BITC)	MDKCFLQDBWCQCV-UHFFFAOYSA-N	[M-H]-	148.022644224	0.6897510607210461	0.18975106072104608	1.1897510607210462	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402_NEG_MS2_RefStd-23_BenzyIsothiocyanate(BITC)_1_Rg70to1050-CE102040norm-isothiocyanate-ACNwater-S1_Run599.h5	HF_Aug2019	
FUSIDIC ACID	IECPWNUMDGFDKC-FRVBXGIOSA-N	[M-H]-	515.3378133	0.691319905	0.191319905	1.191319905	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_26_MS-P3-C7_1_Rg70to1050-CE102040norm--S1_Run143.h5	HF_Aug2019	
CHLORZOXAZONE	TZFWDZFKRBELIQ-UHFFFAOYSA-N	[M-H]-	167.98578	0.691647284	0.191647284	1.191647284	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_13_MS-P2-C4_1_Rg70to1050-CE102040norm--S1_Run77.h5	HF_Aug2019	
5-deoxy-strigol	QXTUQXRFEBHUBA-POLLCTFXSA-N	[M-H]-	329.13944780400004	0.6934507825500756	0.19345078255007564	1.1934507825500758	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402_NEG_MS2_RefStd-26_5-deoxy-strigol_1_Rg70to1050-CE102040norm-strigo-ACNwater-S1_Run614.h5	HF_Aug2019	
DORAMECTIN	QLFZZSKTJWDQOS-CYHFSSRLSA-N	[M-H]-	897.500581	0.694316338	0.194316338	1.194316338	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_21_MS-P3-C2_1_Rg70to1050-CE102040norm--S1_Run118.h5	HF_Aug2019	
FLUOCINOLONE ACETONIDE	FEBLZLNTKCEFIT-AHVBUMMWSA-N	[M+Cl]-	487.1704471	0.694620643	0.194620643	1.194620643	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_29_MS-P3-C10_1_Rg70to1050-CE102040norm--S1_Run159.h5	HF_Aug2019	
SULFAMETHAZINE	ASWVTGNCAZCNNR-UHFFFAOYSA-N	[M-H]-	277.0764707	0.694702277	0.194702277	1.194702277	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_42_MS-P5-C3_1_Rg70to1050-CE205060norm--S1_Run226.h5	HF_Aug2019	
GEMFIBROZIL	HEMJJKBWTPKOJG-UHFFFAOYSA-N	[M-H]-	249.1496186	0.696787605	0.196787605	1.196787605	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_28_MS-P3-C9_1_Rg70to1050-CE205060norm--S1_Run155.h5	HF_Aug2019	
PREDNISOLONE ACETATE	LRJOMUJRLNCICJ-AUGMLKDDSA-N	[M-H]-	401.1969627	0.697032314	0.197032314	1.197032314	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_39_MS-P4-C10_1_Rg70to1050-CE205060norm--S1_Run211.h5	HF_Aug2019	
BENZTHIAZIDE	NDTSRXAMMQDVSW-UHFFFAOYSA-N	[M-H]-	429.9762206	0.697754392	0.197754392	1.197754392	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_6_MS-P1-C7_1_Rg70to1050-CE102040norm--S1_Run41.h5	HF_Aug2019	
2-epi-5-deoxy-strigol	QXTUQXRFEBHUBA-MDVYPADHSA-N	[M-H]-	329.13944780400004	0.6989668182851227	0.19896681828512275	1.1989668182851227	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402_NEG_MS2_RefStd-27_2-epi-5-deoxy-strigol_1_Rg70to1050-CE102040norm-strigo-ACNwater-S1_Run619.h5	HF_Aug2019	
HYDROCORTISONE	JYGXADMDTFJGBT-YDAVOWJHSA-N	[M+Cl]-	397.1787261	0.700421035	0.200421035	1.200421035	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_5_MS-P1-C6_1_Rg70to1050-CE205060norm--S1_Run37.h5	HF_Aug2019	
PHENYTOIN SODIUM	CXOFVDLJLONNDW-UHFFFAOYSA-N	[M-H]-	251.0826016	0.701245489	0.201245489	1.201245489	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_38_MS-P4-C9_1_Rg70to1050-CE205060norm--S1_Run206.h5	HF_Aug2019	
TOLBUTAMIDE	JLRGJRBPOGGCBT-UHFFFAOYSA-N	[M-H]-	269.0965374	0.701593928	0.201593928	1.201593928	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_45_MS-P5-C6_1_Rg70to1050-CE205060norm--S1_Run241.h5	HF_Aug2019	
HEXYLRESORCINOL	WFJIVOKAWHGMBH-UHFFFAOYSA-N	[M-H]-	193.1234038	0.703242307	0.203242307	1.203242307	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_28_MS-P3-C9_1_Rg70to1050-CE102040norm--S1_Run154.h5	HF_Aug2019	
DEXAMETHASONE ACETATE	AKUJBENLRBOFTD-HIBZCRSPSA-N	[M-H]-	433.2031909	0.703507574	0.203507574	1.203507574	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_15_MS-P2-C6_1_Rg70to1050-CE102040norm--S1_Run87.h5	HF_Aug2019	
DIETHYLSTILBESTROL	RGLYKWWBQGJZGM-ISLYRVAYSA-N	[M-H]-	267.1390539	0.703507574	0.203507574	1.203507574	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_15_MS-P2-C6_1_Rg70to1050-CE102040norm--S1_Run87.h5	HF_Aug2019	
DAPSONE	MQJKPEGWNLWLTK-UHFFFAOYSA-N	[M-H]-	247.0546726	0.703761947	0.203761947	1.203761947	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_18_MS-P2-C9_1_Rg70to1050-CE205060norm--S1_Run103.h5	HF_Aug2019	
DIMETHADIONE	JYJFNDQBESEHJQ-UHFFFAOYSA-N	[M-H]-	128.0353171	0.704618164	0.204618164	1.204618164	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_12_MS-P2-C3_1_Rg70to1050-CE205060norm--S1_Run73.h5	HF_Aug2019	
4-Cl-debranone	KADGZWRLAWGNRI-UHFFFAOYSA-N	[M-H]-	223.016745828	0.7047520531163807	0.20475205311638067	1.2047520531163807	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402_NEG_MS2_RefStd-44_4-Cl-debranone_1_Rg70to1050-CE205060norm-strigo-ACNwater-S1_Run706.h5	HF_Aug2019	
GR24	XHSDUVBUZOUAOQ-WJQMYRPNSA-N	[M-H]-	297.076847548	0.704853862955948	0.20485386295594799	1.204853862955948	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402_NEG_MS2_RefStd-33_GR24_1_Rg70to1050-CE102040norm-strigo-ACNwater-S1_Run650.h5	HF_Aug2019	
