compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	source	rt_space	tags
camalexin	IYODIJVWGPRBGQ-UHFFFAOYSA-N	[M-H]-	199.03354	0.930866236	0.180866236	1.680866236	20	negative	slight tailing near solvent front				HF_Aug2019	
scopoletin	RODXRVNMMDRFIK-UHFFFAOYSA-N	[M-H]-	191.03498	0.935820465	0.185820465	1.685820465	20	negative	none				HF_Aug2019	
indole-3-carboxaldehyde	OLNJUISKUQQNIM-UHFFFAOYSA-N	[M-H]-	144.04549	0.941005665	0.191005665	1.691005665	20	negative	none				HF_Aug2019	
sulfapyridine	GECHUMIMRBOMGK-UHFFFAOYSA-N	[M-H]-	248.0499216	0.94373777	0.44373777	1.44373777	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_45_MS-P5-C6_1_Rg70to1050-CE102040norm--S1_Run240.h5	HF_Aug2019	
sulfabenzamide	PBCZLFBEBARBBI-UHFFFAOYSA-N	[M-H]-	275.0495872	0.965417514	0.465417514	1.465417514	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_48_MS-P5-C9_1_Rg70to1050-CE205060norm--S1_Run257.h5	HF_Aug2019	
indomethacin	CGIGDMFJXJATDK-UHFFFAOYSA-N	[M-H]-	356.0695097	0.968087851	0.468087851	1.468087851	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_24_MS-P3-C5_1_Rg70to1050-CE205060norm--S1_Run134.h5	HF_Aug2019	
sulfacetamide	SKIVFJLNDNKQPD-UHFFFAOYSA-N	[M-H]-	213.0339372	0.98317703	0.48317703	1.48317703	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_49_MS-P5-C10_1_Rg70to1050-CE205060norm--S1_Run262.h5	HF_Aug2019	
resorcinol	GHMLBKRAJCXXBS-UHFFFAOYSA-N	[M-H]-	109.0295034	0.995695594	0.495695594	1.495695594	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_45_MS-P5-C6_1_Rg70to1050-CE102040norm--S1_Run240.h5	HF_Aug2019	
12-oxophytodienoic acid	PMTMAFAPLCGXGK-JMTMCXQRSA-N	[M-H]-	291.19657	1.000048947	0.250048947	1.750048947	20	negative	split peak near solvent front				HF_Aug2019	
phenazine-1-carboxylic acid	JGCSKOVQDXEQHI-UHFFFAOYSA-N	[M-H]-	223.0513	1.008826224	0.258826224	1.758826224	20	negative	none				HF_Aug2019	
acetaminophen	RZVAJINKPMORJF-UHFFFAOYSA-N	[M-H]-	150.0560525	1.022066396	0.522066396	1.522066396	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_7_MS-P1-C8_1_Rg70to1050-CE205060norm--S1_Run47.h5	HF_Aug2019	
salsalate	WVYADZUPLLSGPU-UHFFFAOYSA-N	[M-H]-	257.0455474	1.026172036	0.526172036	1.526172036	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_2_MS-P1-C3_1_Rg70to1050-CE205060norm--S1_Run22.h5	HF_Aug2019	
3alpha-hydroxy-5beta-cholanic acid	SMEROWZSTRWXGI-YPLGJCPNSA-N	[M-H]-	375.29047	1.028711165	0.278711165	1.778711165	20	negative	STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified; MSMS confirmed by: MONA 3. PEAK: split peak in void 4. SPECTRUM: calc'ed score is low because of binning issue but is perfect match with LOTS of grags				HF_Aug2019	
nitrofurazone	IAIWVQXQOWNYOU-FPYGCLRLSA-N	[M-H]-	197.0316287	1.032373262	0.532373262	1.532373262	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_33_MS-P4-C4_1_Rg70to1050-CE102040norm--S1_Run179.h5	HF_Aug2019	
omega-hydroxydodecanoic acid	ZDHCZVWCTKTBRY-UHFFFAOYSA-N	[M-H]-	215.16527	1.053906922	0.303906922	1.803906922	20	negative	STANDARD ANNOTATION: 1. SOURCE: IROA07D07 2. MZRT: m/z-rt manually verified 3. PEAK: double peak, more intense one 4. SPECTRUM: none; STANDARD ANNOTATION: 1. SOURCE: IROA07D07 2. MZRT: m/z-rt manually verified 3. PEAK: double peak, more intense one 4. SPECTRUM: none				HF_Aug2019	
9,10-dihydrojasmonic acid	PQEYTAGBXNEUQL-NXEZZACHSA-N	[M-H]-	211.13397	1.055961983	0.305961983	1.805961983	20	negative	none				HF_Aug2019	
trichlormethiazide	LMJSLTNSBFUCMU-UHFFFAOYSA-N	[M-H]-	377.8949048	1.058992177	0.558992177	1.558992177	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_44_MS-P5-C5_1_Rg70to1050-CE102040norm--S1_Run235.h5	HF_Aug2019	
azathioprine	LMEKQMALGUDUQG-UHFFFAOYSA-N	[M-H]-	276.0309175	1.06508726	0.56508726	1.56508726	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_10_MS-P1-C11_1_Rg70to1050-CE205060norm--S1_Run63.h5	HF_Aug2019	
colchicine	IAKHMKGGTNLKSZ-INIZCTEOSA-N	[M-H]-	398.1609115	1.068718473	0.568718473	1.568718473	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_14_MS-P2-C5_1_Rg70to1050-CE205060norm--S1_Run83.h5	HF_Aug2019	
diclofenac sodium	DCOPUUMXTXDBNB-UHFFFAOYSA-N	[M-H]-	294.009408	1.071456337	0.571456337	1.571456337	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_20_MS-P2-C11_1_Rg70to1050-CE205060norm--S1_Run114.h5	HF_Aug2019	
estriol	PROQIPRRNZUXQM-YDGSGPMOSA-N	[M-H]-	287.1652686	1.076236074	0.576236074	1.576236074	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_17_MS-P2-C8_1_Rg70to1050-CE102040norm--S1_Run97.h5	HF_Aug2019	
ursodiol	RUDATBOHQWOJDD-ZLEVCPGMSA-N	[M-H]-	391.2853838	1.086643037	0.586643037	1.586643037	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_48_MS-P5-C9_1_Rg70to1050-CE205060norm--S1_Run257.h5	HF_Aug2019	
sorbic acid	WSWCOQWTEOXDQX-MQQKCMAXSA-N	[M-H]-	111.04515	1.087485198	0.337485198	1.837485198	20	negative	STANDARD ANNOTATION: 1. SOURCE: IROA05A02 2. MZRT: m/z-rt manually verified 3. PEAK: most likely, NEG mode 4. SPECTRUM: none; STANDARD ANNOTATION: 1. SOURCE: IROA05A02 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NML2016, NIST 3. PEAK: most likely, NEG mode 4. SPECTRUM: none				HF_Aug2019	
gibberellin a9	MHVYWTXXZIFXDT-UHFFFAOYSA-N	[M-H]-	315.16018	1.089230399	0.339230399	1.839230399	20	negative	split peak near solvent front				HF_Aug2019	
dimethylbenzimidazole	LJUQGASMPRMWIW-UHFFFAOYSA-N	[M-H]-	145.07712	1.091711924	0.341711924	1.841711924	20	negative	STANDARD ANNOTATION: 1. SOURCE: IROA07D11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none; STANDARD ANNOTATION: 1. SOURCE: IROA07D11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019	
glycyrrhetinic acid	MPDGHEJMBKOTSU-YKLVYJNSSA-N	[M-H]-	469.33233	1.095642553	0.345642553	1.845642553	20	negative	split peak near solvent front				HF_Aug2019	
acetazolamide	BZKPWHYZMXOIDC-UHFFFAOYSA-N	[M-H]-	220.9808561	1.096493263	0.596493263	1.596493263	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_6_MS-P1-C7_1_Rg70to1050-CE102040norm--S1_Run41.h5	HF_Aug2019	
n-methylanthranilic acid	WVMBPWMAQDVZCM-UHFFFAOYSA-N	[M-H]-	150.05605	1.100147904	0.350147904	1.850147904	20	negative	none				HF_Aug2019	
triamcinolone	GFNANZIMVAIWHM-MGVPRKGPSA-N	[M-H]-	393.1718908	1.102843929	0.602843929	1.602843929	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_50_MS-P5-C11_1_Rg70to1050-CE205060norm--S1_Run267.h5	HF_Aug2019	
potassium p-aminobenzoate	ALYNCZNDIQEVRV-UHFFFAOYSA-N	[M-H]-	136.0404025	1.104523234	0.604523234	1.604523234	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_6_MS-P1-C7_1_Rg70to1050-CE205060norm--S1_Run42.h5	HF_Aug2019	
4-methoxyphenylacetic acid	NRPFNQUDKRYCNX-UHFFFAOYSA-N	[M-H]-	165.05572	1.120838496	0.370838496	1.870838496	20	negative	STANDARD ANNOTATION: 1. SOURCE: NMLQCsopV3c01 2. MZRT: m/z-rt manually verified 3. PEAK: right and left shoulders, but main peak is nice, close to void 4. SPECTRUM: nist has binning issue lowering score but is good match; STANDARD ANNOTATION: 1. SOURCE: NMLQCsopV3c01 2. MZRT: m/z-rt manually verified 3. PEAK: none 4. SPECTRUM: none				HF_Aug2019	
chlorothiazide	JBMKAUGHUNFTOL-UHFFFAOYSA-N	[M-H]-	293.9415494	1.125337037	0.625337037	1.625337037	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_6_MS-P1-C7_1_Rg70to1050-CE102040norm--S1_Run41.h5	HF_Aug2019	
sulfathiazole	JNMRHUJNCSQMMB-UHFFFAOYSA-N	[M-H]-	254.0063425	1.126425913	0.626425913	1.626425913	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_47_MS-P5-C8_1_Rg70to1050-CE102040norm--S1_Run251.h5	HF_Aug2019	
indole-3-pyruvic acid	RSTKLPZEZYGQPY-UHFFFAOYSA-N	[M-H]-	202.05097	1.14198435	0.39198435	1.89198435	20	negative	STANDARD ANNOTATION: 1. SOURCE: IROA05H04 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void/near void w same adducts but at different intensity ratios 4. SPECTRUM: none; STANDARD ANNOTATION: 1. SOURCE: IROA05H04 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void/near void w same adducts but at different intensity ratios 4. SPECTRUM: none				HF_Aug2019	
trans-cinnamic acid	WBYWAXJHAXSJNI-VOTSOKGWSA-N	[M-H]-	147.04515	1.146332448	0.396332448	1.896332448	20	negative	STANDARD ANNOTATION: 1. SOURCE: IROA07F01 2. MZRT: m/z-rt manually verified 3. PEAK: none 4. SPECTRUM: none; STANDARD ANNOTATION: 1. SOURCE: IROA07F01 2. MZRT: m/z-rt manually verified 3. PEAK: none 4. SPECTRUM: none				HF_Aug2019	
sulfamethizole	VACCAVUAMIDAGB-UHFFFAOYSA-N	[M-H]-	269.0172416	1.15307044	0.65307044	1.65307044	5	negative				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_NEG_MS2_43_MS-P5-C4_1_Rg70to1050-CE205060norm--S1_Run231.h5	HF_Aug2019	
abscisic acid	JLIDBLDQVAYHNE-YKALOCIXSA-N	[M-H]-	263.12888	1.154379496	0.404379496	1.904379496	20	negative	STANDARD ANNOTATION: 1. SOURCE: NMLC0802 2. MZRT: m/z-rt manually verified; MSMS confirmed by: mona_score, mona_num_matches 3. PEAK: split peak 4. SPECTRUM: only mona has significant mismatches; STANDARD ANNOTATION: 1. SOURCE: NMLC0802 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019	
3-methoxy-anthranilic acid	SXOPCLUOUFQBJV-UHFFFAOYSA-N	[M-H]-	166.05097	1.155012737	0.405012737	1.905012737	20	negative	none				HF_Aug2019	
lumichrome	ZJTJUVIJVLLGSP-UHFFFAOYSA-N	[M-H]-	241.0731	1.179716874	0.429716874	1.929716874	20	negative	STANDARD ANNOTATION: 1. SOURCE: IROA05C09 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NML2016 3. PEAK: none 4. SPECTRUM: perfectly matches metatlas; STANDARD ANNOTATION: 1. SOURCE: IROA05C09 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NML2016 3. PEAK: none 4. SPECTRUM: perfectly matches metatlas				HF_Aug2019	
theophylline	ZFXYFBGIUFBOJW-UHFFFAOYSA-N	[M-H]-	179.05745	1.179752805	0.429752805	1.929752805	20	negative	STANDARD ANNOTATION: 1. SOURCE: IROA02A10 2. MZRT: m/z-rt manually verified; MSMS confirmed by: MONA 3. PEAK: split peak near void 4. SPECTRUM: none; STANDARD ANNOTATION: 1. SOURCE: IROA02A10 2. MZRT: m/z-rt manually verified; MSMS confirmed by: MONA 3. PEAK: split peak near void 4. SPECTRUM: none				HF_Aug2019	
chenodeoxycholic acid	RUDATBOHQWOJDD-BSWAIDMHSA-N	[M-H]-	391.28538	1.179932572	0.429932572	1.929932572	20	negative	STANDARD ANNOTATION: 1. SOURCE: IROA07A05 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NIST, MONA 3. PEAK: double peak near void 4. SPECTRUM: perfect msms; STANDARD ANNOTATION: 1. SOURCE: IROA07A05 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NIST 3. PEAK: double peak near void 4. SPECTRUM: perfect msms				HF_Aug2019	
indole-3-butyric acid	JTEDVYBZBROSJT-UHFFFAOYSA-N	[M-H]-	202.08735	1.184494634	0.434494634	1.934494634	20	negative	none				HF_Aug2019	
paraxanthine	QUNWUDVFRNGTCO-UHFFFAOYSA-N	[M-H]-	179.05745	1.188054762	0.438054762	1.938054762	20	negative	STANDARD ANNOTATION: 1. SOURCE: IROA02C01 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NML2016, MONA 3. PEAK: split peak near void 4. SPECTRUM: none; STANDARD ANNOTATION: 1. SOURCE: IROA02C01 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NML2016, NIST, MONA 3. PEAK: split peak near void 4. SPECTRUM: none				HF_Aug2019	
thiopurine s-methylether	UIJIQXGRFSPYQW-UHFFFAOYSA-N	[M-H]-	165.02404	1.192225243	0.442225243	1.942225243	20	negative	STANDARD ANNOTATION: 1. SOURCE: IROA05D11 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NML2016 3. PEAK: split peak +/- 0.2min near void 4. SPECTRUM: none; STANDARD ANNOTATION: 1. SOURCE: IROA05D11 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NML2016 3. PEAK: split peak +/- 0.2min near void 4. SPECTRUM: none				HF_Aug2019	
methyl indole-3-acetic acid	KTHADMDGDNYQRX-UHFFFAOYSA-N	[M-H]-	188.0717	1.192234686	0.442234686	1.942234686	20	negative	STANDARD ANNOTATION: 1. SOURCE: IROA06C05 2. MZRT: m/z-rt manually verified 3. PEAK: 2nd of split peak, close to void 4. SPECTRUM: none; STANDARD ANNOTATION: 1. SOURCE: IROA06C05 2. MZRT: m/z-rt manually verified 3. PEAK: 2nd of split peak, close to void 4. SPECTRUM: none				HF_Aug2019	
