compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	standard_source	rt_space
alanine (unlabeled)	QNAYBMKLOCPYGJ-REOHCLBHSA-N	[M-H]-	88.0404	13.40509074	13.10509074	13.70509074	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
threonine (U - 13C, 15N)	AYFVYJQAPQTCCC-KJQIOZMZSA-N	[M-H]-	123.06142	13.48957226	13.18957226	13.78957226	5	negative	nan				HF_Aug2019
threonine (unlabeled)	AYFVYJQAPQTCCC-GBXIJSLDSA-N	[M-H]-	118.05096	13.48957226	13.18957226	13.78957226	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
glycine (U - 13C, 15N)	DHMQDGOQFOQNFH-VMIGTVKRSA-N	[M-H]-	77.02849	14.10051479	13.80051479	14.40051479	5	negative	nan				HF_Aug2019
glycine (unlabeled)	DHMQDGOQFOQNFH-UHFFFAOYSA-N	[M-H]-	74.02475	14.10051479	13.80051479	14.40051479	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
serine (U - 13C, 15N)	MTCFGRXMJLQNBG-UVYXLFMMSA-N	[M-H]-	108.04241	14.31261357	14.01261357	14.61261357	5	negative	nan				HF_Aug2019
serine (unlabeled)	MTCFGRXMJLQNBG-REOHCLBHSA-N	[M-H]-	104.03531	14.31261357	14.01261357	14.61261357	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
glutamine (U - 13C, 15N)	ZDXPYRJPNDTMRX-YIDSDQPMSA-N	[M-H]-	152.0727	14.31275825	14.01275825	14.61275825	5	negative	nan				HF_Aug2019
glutamine (unlabeled)	ZDXPYRJPNDTMRX-VKHMYHEASA-N	[M-H]-	145.06186	14.31275825	14.01275825	14.61275825	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
asparagine (U - 13C, 15N)	DCXYFEDJOCDNAF-FLEDYEEXSA-N	[M-H]-	137.0537	14.36808894	14.06808894	14.66808894	5	negative	nan				HF_Aug2019
asparagine (unlabeled)	DCXYFEDJOCDNAF-REOHCLBHSA-N	[M-H]-	131.04621	14.36808894	14.06808894	14.66808894	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: NMLQCsopV3c72 2. MZRT: m/z-rt manually verified 3. PEAK: nice 4. SPECTRUM: none				HF_Aug2019
trehalose (U - 13C)	HDTRYLNUVZCQOY-OSKVYJSUSA-N	[M-H]-	353.14919	14.44384736	14.14384736	14.74384736	5	negative	nan				HF_Aug2019
trehalose (unlabeled)	HDTRYLNUVZCQOY-LIZSDCNHSA-N	[M-H]-	341.10893	14.44384736	14.14384736	14.74384736	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA02A12 2. MZRT: m/z-rt manually verified; MSMS confirmed by: NIST 3. PEAK: low intensity 4. SPECTRUM: NIST has binning issue but is perfect match				HF_Aug2019
histidine (U - 13C, 15N)	HNDVDQJCIGZPNO-SOVAVUQXSA-N	[M-H]-	163.07343	14.87779878	14.57779878	15.17779878	5	negative	nan				HF_Aug2019
histidine (unlabeled)	HNDVDQJCIGZPNO-YFKPBYRVSA-N	[M-H]-	154.0622	14.87779878	14.57779878	15.17779878	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
glutamic acid (U - 13C, 15N)	WHUUTDBJXJRKMK-UFLWJPECSA-N	[M-H]-	152.05969	15.93538957	15.63538957	16.23538957	5	negative	nan				HF_Aug2019
glutamic acid (unlabeled)	WHUUTDBJXJRKMK-VKHMYHEASA-N	[M-H]-	146.04588	15.93538957	15.63538957	16.23538957	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
aspartic acid (U - 13C, 15N)	CKLJMWTZIZZHCS-NYTNKSBQSA-N	[M-H]-	137.04068	16.13036002	15.83036002	16.43036002	5	negative	nan				HF_Aug2019
aspartic acid (unlabeled)	CKLJMWTZIZZHCS-REOHCLBHSA-N	[M-H]-	132.03023	16.13036002	15.83036002	16.43036002	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
fumaric acid (U - 13C)	VZCYOOQTPOCHFL-BHBLSLFXSA-N	[M-H]-	119.0171015	16.30354545	16.00354545	16.60354545	5	negative	nan				HF_Aug2019
fumaric acid (unlabeled)	VZCYOOQTPOCHFL-OWOJBTEDSA-N	[M-H]-	115.0036835	16.30354545	16.00354545	16.60354545	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA05G04 2. MZRT: m/z-rt manually verified 3. PEAK: nice 4. SPECTRUM: perfect msms				HF_Aug2019
cystine (U - 13C, 15N)	LEVWYRKDKASIDU-OGYFDXEDSA-N	[M-H]-	247.03077	16.90430834	16.60430834	17.20430834	5	negative	nan				HF_Aug2019
cystine (unlabeled)	LEVWYRKDKASIDU-IMJSIDKUSA-N	[M-H]-	239.01657	16.90430834	16.60430834	17.20430834	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: NMLC0404 2. MZRT: m/z-rt manually verified 3. PEAK: nice 4. SPECTRUM: perfect				HF_Aug2019
arginine (U - 13C, 15N)	ODKSFYDXXFIFQN-GZYYCROJSA-N	[M-H]-	183.11266	16.93991539	16.63991539	17.23991539	5	negative	nan				HF_Aug2019
arginine (unlabeled)	ODKSFYDXXFIFQN-BYPYZUCNSA-N	[M-H]-	173.10439	16.93991539	16.63991539	17.23991539	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
lysine (U - 13C, 15N)	KDXKERNSBIXSRK-JMKXWGMHSA-N	[M-H]-	153.11245	17.01131041	16.71131041	17.31131041	5	negative	nan				HF_Aug2019
lysine (unlabeled)	KDXKERNSBIXSRK-YFKPBYRVSA-N	[M-H]-	145.09825	17.01131041	16.71131041	17.31131041	5	negative	nan; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019
