label	compound_name	inchi_key	adduct	mz	rt_peak	rt_min	rt_max	mz_tolerance	polarity	identification_notes	classes	pathways	source	rt_space	tags
3-5-Dimethoxybenzyl Alcohol	3-5-Dimethoxybenzyl Alcohol	AUDBREYGQOXIFT-UHFFFAOYSA-N	[M-H2O+H]+	151.075355244	0.889252057966078	0.389252057966078	1.389252057966078	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20250610_JGI_MB-KW_510659_MtrophMeth-13C_final_EXP120B_HILICZ_USHXG01827/20250610_JGI_MB-KW_510659_MtrophMeth-13C_final_EXP120B_HILICZ_USHXG01827_POS_MS2_RefStd-S21_3-5-DimethoxybenzylAlcohol_A_Rg70to1050-CE102040norm-super-S1_Run472.h5	HF_Aug2019	
DEHYDROCHOLATE SODIUM	DEHYDROCHOLATE SODIUM	OHXPGWPVLFPUSM-NDGTYXLASA-N	[M+H]+	403.2479002	0.89023185	0.39023185	1.39023185	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_11_MS-P2-C2_1_Rg70to1050-CE102040norm--S1_Run65.h5	HF_Aug2019	
DEHYDROCHOLATE SODIUM	DEHYDROCHOLATE SODIUM	OHXPGWPVLFPUSM-NDGTYXLASA-N	[M+NH4]+	420.2744472	0.8954724	0.3954724	1.3954724	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_11_MS-P2-C2_1_Rg70to1050-CE102040norm--S1_Run65.h5	HF_Aug2019	
1-ethyl-2(1H)-quinolone	1-ethyl-2(1H)-quinolone	JRXCUTAHLPYHAY-UHFFFAOYSA-N	[M+H]+	174.09134	0.903277221	0.153277221	1.653277221	20	positive	none				HF_Aug2019	
p-Coumaraldehyde	p-Coumaraldehyde	CJXMVKYNVIGQBS-OWOJBTEDSA-N	[M+H]+	149.059705496	0.9045288533646604	0.4045288533646605	1.4045288533646607	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20251120_JGI_LB_511319_OryNip_final_IQX_HILICZ_USHXG03362/20251120_JGI_LB_511319_OryNip_final_IQX_HILICZ_USHXG03362_POS_MS2_RefStd-3_p-Coumaraldehyde_2_Rg70to1050-CE205060norm-20ugml-S1_Run147.h5	HF_Aug2019	
Sinapyl Alcohol	Sinapyl Alcohol	LZFOPEXOUVTGJS-ONEGZZNKSA-N	[M-H2O+H]+	193.085919928	0.9049957811533292	0.4049957811533292	1.4049957811533291	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20251120_JGI_LB_511319_OryNip_final_IQX_HILICZ_USHXG03362/20251120_JGI_LB_511319_OryNip_final_IQX_HILICZ_USHXG03362_POS_MS2_RefStd-5_SinapylAlcohol_2_Rg70to1050-CE205060norm-20ugml-S1_Run157.h5	HF_Aug2019	
CINOXACIN	CINOXACIN	VDUWPHTZYNWKRN-UHFFFAOYSA-N	[M+H]+	263.0662474	0.912296165	0.412296165	1.412296165	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_15_MS-P2-C6_1_Rg70to1050-CE205060norm--S1_Run86.h5	HF_Aug2019	
SULFISOXAZOLE	SULFISOXAZOLE	NHUHCSRWZMLRLA-UHFFFAOYSA-N	[M+H]+	268.0750383	0.914202118	0.414202118	1.414202118	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_49_MS-P5-C10_1_Rg70to1050-CE205060norm--S1_Run260.h5	HF_Aug2019	
MECLOFENAMATE SODIUM	MECLOFENAMATE SODIUM	SBDNJUWAMKYJOX-UHFFFAOYSA-N	[M]+	295.0161354	0.91632957	0.41632957	1.41632957	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_25_MS-P3-C6_1_Rg70to1050-CE205060norm--S1_Run137.h5	HF_Aug2019	
Scopoletin	Scopoletin	RODXRVNMMDRFIK-UHFFFAOYSA-N	[M+H]+	193.04954	0.91900031	0.16900031	1.66900031	20	positive	none				HF_Aug2019	
p-Coumaryl Alcohol	p-Coumaryl Alcohol	PTNLHDGQWUGONS-OWOJBTEDSA-N	[M-H2O+H]+	133.06479056	0.9211900021012196	0.4211900021012196	1.4211900021012198	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20251120_JGI_LB_511319_OryNip_final_IQX_HILICZ_USHXG03362/20251120_JGI_LB_511319_OryNip_final_IQX_HILICZ_USHXG03362_POS_MS2_RefStd-6_p-CoumarylAlcohol_2_Rg70to1050-CE205060norm-20ugml-S1_Run162.h5	HF_Aug2019	
camalexin	camalexin	IYODIJVWGPRBGQ-UHFFFAOYSA-N	[M+H]+	201.0481	0.921777168	0.171777168	1.671777168	20	positive	slight tailing near solvent front				HF_Aug2019	
Coniferyl Alcohol	Coniferyl Alcohol	JMFRWRFFLBVWSI-NSCUHMNNSA-N	[M-H2O+H]+	163.075355244	0.9237652655676044	0.4237652655676044	1.4237652655676043	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20251120_JGI_LB_511319_OryNip_final_IQX_HILICZ_USHXG03362/20251120_JGI_LB_511319_OryNip_final_IQX_HILICZ_USHXG03362_POS_MS2_RefStd-4_ConiferylAlcohol_2_Rg70to1050-CE205060norm-20ugml-S1_Run152.h5	HF_Aug2019	
Indole-3-carboxaldehyde	Indole-3-carboxaldehyde	OLNJUISKUQQNIM-UHFFFAOYSA-N	[M+H]+	146.06004	0.923860798	0.173860798	1.673860798	20	positive	none				HF_Aug2019	
NAPROXEN	NAPROXEN	CMWTZPSULFXXJA-VIFPVBQESA-N	[M]+	230.0937457	0.92531564	0.42531564	1.42531564	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_37_MS-P4-C8_1_Rg70to1050-CE205060norm--S1_Run199.h5	HF_Aug2019	
PAPAVERINE HYDROCHLORIDE	PAPAVERINE HYDROCHLORIDE	XQYZDYMELSJDRZ-UHFFFAOYSA-N	[M+H]+	340.1543342	0.931032697	0.431032697	1.431032697	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_34_MS-P4-C5_1_Rg70to1050-CE205060norm--S1_Run183.h5	HF_Aug2019	
INDOMETHACIN	INDOMETHACIN	CGIGDMFJXJATDK-UHFFFAOYSA-N	[M+H]+	358.0840617	0.95763025	0.45763025	1.45763025	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_24_MS-P3-C5_1_Rg70to1050-CE205060norm--S1_Run132.h5	HF_Aug2019	
SULFABENZAMIDE	SULFABENZAMIDE	PBCZLFBEBARBBI-UHFFFAOYSA-N	[M+H]+	277.0641392	0.957873336	0.457873336	1.457873336	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_48_MS-P5-C9_1_Rg70to1050-CE205060norm--S1_Run255.h5	HF_Aug2019	
TROPICAMIDE	TROPICAMIDE	BGDKAVGWHJFAGW-UHFFFAOYSA-N	[M+H]+	285.1597539	0.977306197	0.477306197	1.477306197	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_43_MS-P5-C4_1_Rg70to1050-CE205060norm--S1_Run229.h5	HF_Aug2019	
Karrikin-11	Karrikin-11	RUJWBBAVRBNHNV-QXRNQMCJSA-N	[M-H2O+H]+	155.03388435600002	0.9918039010698502	0.4918039010698501	1.4918039010698505	5					/global/cfs/cdirs/metatlas/raw_data/jgi/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402/20260106_JGI_LP-AC_510770_StrigoArab_final_EXP120B_HILICZ_USHXG03402_POS_MS2_RefStd-41_Karrikin-11_1_Rg70to1050-CE102040norm-strigo-ACNwater-S1_Run688.h5	HF_Aug2019	
Phenazine-1-carboxylic acid	Phenazine-1-carboxylic acid	JGCSKOVQDXEQHI-UHFFFAOYSA-N	[M+H]+	225.06585	0.992616101	0.242616101	1.742616101	20	positive	none				HF_Aug2019	
SALSALATE	SALSALATE	WVYADZUPLLSGPU-UHFFFAOYSA-N	[M-H2O+H]+	241.0495344	1.000940667	0.500940667	1.500940667	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_2_MS-P1-C3_1_Rg70to1050-CE205060norm--S1_Run20.h5	HF_Aug2019	
ACETAMINOPHEN	ACETAMINOPHEN	RZVAJINKPMORJF-UHFFFAOYSA-N	[M+H]+	152.0706045	1.027178863	0.527178863	1.527178863	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_7_MS-P1-C8_1_Rg70to1050-CE102040norm--S1_Run44.h5	HF_Aug2019	
DICLOFENAC SODIUM	DICLOFENAC SODIUM	DCOPUUMXTXDBNB-UHFFFAOYSA-N	[M]+	295.0161354	1.034913172	0.534913172	1.534913172	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_20_MS-P2-C11_1_Rg70to1050-CE102040norm--S1_Run111.h5	HF_Aug2019	
3alpha-hydroxy-5beta-cholanic acid	3alpha-hydroxy-5beta-cholanic acid	SMEROWZSTRWXGI-YPLGJCPNSA-N	[M+H-H2O]+	359.29446	1.035804782	0.285804782	1.785804782	20	positive	STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified; MSMS confirmed by: MONA 3. PEAK: split peak in void 4. SPECTRUM: calc'ed score is low because of binning issue but is perfect match with LOTS of grags; STANDARD ANNOTATION: 1. SOURCE: IROA07A11 2. MZRT: m/z-rt manually verified; MSMS confirmed by: MONA 3. PEAK: split peak in void 4. SPECTRUM: calc'ed score is low because of binning issue but is perfect match with LOTS of grags				HF_Aug2019	
dimethylbenzimidazole	dimethylbenzimidazole	LJUQGASMPRMWIW-UHFFFAOYSA-N	[M+H]+	147.09167	1.039609953	0.289609953	1.789609953	20	positive	STANDARD ANNOTATION: 1. SOURCE: IROA07D11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none; STANDARD ANNOTATION: 1. SOURCE: IROA07D11 2. MZRT: m/z-rt manually verified 3. PEAK: split peak in void 4. SPECTRUM: none				HF_Aug2019	
NITROFURAZONE	NITROFURAZONE	IAIWVQXQOWNYOU-FPYGCLRLSA-N	[M+H]+	199.0461807	1.042218474	0.542218474	1.542218474	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_33_MS-P4-C4_1_Rg70to1050-CE102040norm--S1_Run177.h5	HF_Aug2019	
4-methoxyphenylacetic acid	4-methoxyphenylacetic acid	NRPFNQUDKRYCNX-UHFFFAOYSA-N	[M+NH4]+	184.09682	1.068941733	0.318941733	1.818941733	20	positive	STANDARD ANNOTATION: 1. SOURCE: NMLQCsopV3c01 2. MZRT: m/z-rt manually verified 3. PEAK: none 4. SPECTRUM: none; STANDARD ANNOTATION: 1. SOURCE: NMLQCsopV3c01 2. MZRT: m/z-rt manually verified 3. PEAK: none 4. SPECTRUM: none				HF_Aug2019	
N-methylanthranilic acid	N-methylanthranilic acid	WVMBPWMAQDVZCM-UHFFFAOYSA-N	[M+H]+	152.0706	1.076955564	0.326955564	1.826955564	20	positive	none				HF_Aug2019	
N-methylanthranilic acid	N-methylanthranilic acid	WVMBPWMAQDVZCM-UHFFFAOYSA-N	[M+H-H2O]+	134.06004	1.076955564	0.326955564	1.826955564	20	positive	none				HF_Aug2019	
ACETAZOLAMIDE	ACETAZOLAMIDE	BZKPWHYZMXOIDC-UHFFFAOYSA-N	[M+H]+	222.9954081	1.078817969	0.578817969	1.578817969	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_6_MS-P1-C7_1_Rg70to1050-CE102040norm--S1_Run39.h5	HF_Aug2019	
COLCHICINE	COLCHICINE	IAKHMKGGTNLKSZ-INIZCTEOSA-N	[M+H]+	400.1754635	1.083009941	0.583009941	1.583009941	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_14_MS-P2-C5_1_Rg70to1050-CE102040norm--S1_Run80.h5	HF_Aug2019	
HYDROCHLOROTHIAZIDE	HYDROCHLOROTHIAZIDE	JZUFKLXOESDKRF-UHFFFAOYSA-N	[M+NH4]+	314.9982984	1.102399878	0.602399878	1.602399878	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_22_MS-P3-C3_1_Rg70to1050-CE205060norm--S1_Run122.h5	HF_Aug2019	
AZATHIOPRINE	AZATHIOPRINE	LMEKQMALGUDUQG-UHFFFAOYSA-N	[M+H]+	278.0454695	1.106878296	0.606878296	1.606878296	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_10_MS-P1-C11_1_Rg70to1050-CE102040norm--S1_Run60.h5	HF_Aug2019	
indole-3-acetaldehyde	indole-3-acetaldehyde	WHOOUMGHGSPMGR-UHFFFAOYSA-N	[M+H]+	160.07569	1.123631494	0.373631494	1.873631494	20	positive	STANDARD ANNOTATION: 1. SOURCE: IROA06D06 2. MZRT: m/z-rt manually verified 3. PEAK: 2nd of split peak, near void 4. SPECTRUM: none; STANDARD ANNOTATION: 1. SOURCE: IROA06D06 2. MZRT: m/z-rt manually verified 3. PEAK: 2nd of split peak, near void 4. SPECTRUM: none				HF_Aug2019	
SULFATHIAZOLE	SULFATHIAZOLE	JNMRHUJNCSQMMB-UHFFFAOYSA-N	[M+H]+	256.0208945	1.124838351	0.624838351	1.624838351	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_47_MS-P5-C8_1_Rg70to1050-CE102040norm--S1_Run249.h5	HF_Aug2019	
BROMOCRIPTINE MESYLATE	BROMOCRIPTINE MESYLATE	OZVBMTJYIDMWIL-NXIPCUEUSA-N	[M+H]+	654.2285575	1.12589055	0.62589055	1.62589055	5	positive				/global/cfs/cdirs/metatlas/raw_data/jgi/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827/20250403_JGI_BerkLab_507792_MicroSourceStds_P1toP5-NormOnly_EXP120B_HILICZ_USHXG01827_POS_MS2_2_MS-P1-C3_1_Rg70to1050-CE102040norm--S1_Run19.h5	HF_Aug2019	
